"*02un7*","F","Aleksander Barkov","FLA","F","Act","28","3.65","1.22","3","0.96","2.42","0.67","7.59","0.06","1.35","0","2.69"
"*04xec*","F","Matt Boldy","MIN","F","Act","22","2.96","0.74","4","1.32","1.4","1.62","11.16","0","1.22","0","2.47"
"*02fzj*","F","Blake Coleman","CGY","F","Act","32","2.3","0.77","3","0.82","0.84","1.93","7.27","0.06","0.09","0","6.37"
"*01ex7*","F","Matt Duchene","DAL","F","Act","33","3.05","0.76","4","1.29","1.62","1.11","7.79","0","0.68","0","1.43"
"*04lcf*","F","Joel Farabee","PHI","F","Act","23","1.98","0.66","3","0.61","1.15","1.8","5.84","0","0.34","0","2.25"
"*01s88*","F","Adam Henrique","ANA","F","Act","34","2.76","0.69","4","1.18","1.32","1.99","8.06","0.06","0.5","0","2.56"
"*05gvq*","F","Seth Jarvis","CAR","F","Act","22","3.32","0.83","4","1.13","1.73","0.75","9.74","0.11","0.67","0","4.64"
"*03wor*","F","Mason Marchment","DAL","F","Act","28","2.97","0.74","4","0.97","1.45","3.32","6.6","0","0.39","0","5.4"
"*02aez*","F","J.T. Miller","VAN","F","Act","30","4.28","1.07","4","1.27","2.17","2.57","8.39","0.12","1.38","0","8.37"
"*02yjj*","F","William Nylander","TOR","F","Act","27","4.37","1.09","4","1.96","2.31","1.45","15.36","0.05","1.6","0","1"
"*03e1m*","F","Brayden Point","TBL","F","Act","27","4.3","1.08","4","2.17","1.97","0.63","11.03","0","1.4","0","1.58"
"*04dwj*","F","Jason Robertson","DAL","F","Act","24","4.87","1.22","4","1.72","2.83","1.14","13.18","0","1.41","0","3.22"
"*04ld3*","D","Noah Dobson","NYI","D","Act","24","2.67","0.89","3","0.48","1.92","0.89","8.25","0","0.72","0","2.71"
"*04yu5*","D","Thomas Harley","DAL","D","Act","22","2.19","0.55","4","0.43","1.3","1.14","6.43","0.05","0.17","0","4.62"
"*04lbz*","D","Quinn Hughes","VAN","D","Act","24","3.94","0.99","4","0.35","3.46","1.68","7.66","0","1.77","0","1.31"
"*02ib8*","D","Torey Krug","STL","D","Act","32","2","0.67","3","0.31","1.47","2.04","6.56","0","0.79","0","2.19"
"*03pim*","D","Jeremy Lauzon","NSH","D","Act","26","2.29","0.57","4","0.2","0.5","4.63","4.89","0","0","0","15.9"
"*04alw*","D","Cale Makar","COL","D","Act","25","3.17","1.06","3","0.77","2.12","0.94","9.43","0.05","1.25","0","2.82"
"*039cg*","F","Sam Bennett","FLA","F","Res","27","2.46","0.82","3","0.85","1.02","3.38","6.99","0","0.42","0","5.94"
"*02wy7*","F","Pavel Buchnevich","STL","F","Res","28","2.87","0.96","3","1.09","1.57","1.6","7.25","0","0.8","0","2.08"
"*03as8*","F","Nikolaj Ehlers","WPG","F","Res","28","3.25","0.81","4","1.34","1.71","0.73","11.73","0","0.74","0","1.98"
"*03167*","F","Bo Horvat","NYI","F","Res","28","2.59","0.86","3","1.28","1.1","1.4","8.39","0.07","0.62","0","2.1"
"*05gd8*","F","Mason McTavish","ANA","F","Res","21","2.53","0.63","4","0.95","1.27","3.2","7.13","0","0.57","0","3.15"
"*01f6d*","F","Ryan O'Reilly","NSH","F","Res","33","3.29","0.82","4","1.24","1.91","0.89","9.82","0.03","0.9","0","1.35"
"*03ne3*","F","Frank Vatrano","ANA","F","Res","29","3.17","0.79","4","1.48","1.13","2.9","11.1","0.05","0.66","0","5.61"
"*049ph*","D","Neal Pionk","WPG","D","Res","28","2.54","0.64","4","0.39","1.3","2.59","6.98","0","0.38","0","8.53"
"*01skr*","F","Mikael Granlund","SJS","F","IR","31","1.03","0.52","2","0.22","0.61","0.7","2.76","0","0.32","0","2"
