"*02un7*","F","Aleksander Barkov","FLA","F","Act","28","6.6","1.1","6","1","5","0","9","0","3","0","6"
"*04xec*","F","Matt Boldy","MIN","F","Act","22","7.5","1.5","5","3","4","4","21","0","2","0","5"
"*02fzj*","F","Blake Coleman","CGY","F","Act","32","3.7","0.62","6","1","2","6","13","0","0","0","7"
"*01ex7*","F","Matt Duchene","DAL","F","Act","33","10.6","1.77","6","5","5","2","13","0","3","0","6"
"*04lcf*","F","Joel Farabee","PHI","F","Act","23","2.7","0.45","6","0","2","0","16","0","1","0","7"
"*01s88*","F","Adam Henrique","ANA","F","Act","34","2.8","0.7","4","0","2","5","7","0","1","0","8"
"*05gvq*","F","Seth Jarvis","CAR","F","Act","22","7","1.17","6","3","3","0","12","1","1","0","10"
"*03wor*","F","Mason Marchment","DAL","F","Act","28","10.4","1.73","6","2","7","0","11","0","4","0","14"
"*02aez*","F","J.T. Miller","VAN","F","Act","30","4.6","0.66","7","3","0","8","24","0","0","0","16"
"*02yjj*","F","William Nylander","TOR","F","Act","27","10.3","1.72","6","5","5","4","22","0","6","0","3"
"*03e1m*","F","Brayden Point","TBL","F","Act","27","3.1","0.52","6","2","1","2","14","0","1","0","1"
"*04dwj*","F","Jason Robertson","DAL","F","Act","24","5.7","0.95","6","1","4","0","12","0","1","0","7"
"*04ld3*","D","Noah Dobson","NYI","D","Act","24","3.8","0.95","4","1","2","0","10","0","1","0","8"
"*04yu5*","D","Thomas Harley","DAL","D","Act","22","4.4","0.73","6","2","2","0","18","0","1","0","4"
"*04lbz*","D","Quinn Hughes","VAN","D","Act","24","4.2","0.6","7","0","4","4","13","0","2","0","2"
"*02ib8*","D","Torey Krug","STL","D","Act","32","8.4","1.68","5","1","7","2","12","0","3","0","4"
"*03pim*","D","Jeremy Lauzon","NSH","D","Act","26","3.8","0.95","4","0","1","8","1","0","0","0","28"
"*04alw*","D","Cale Makar","COL","D","Act","25","2.4","0.4","6","1","1","0","17","0","0","0","4"
"*039cg*","F","Sam Bennett","FLA","F","Res","27","5.1","0.85","6","2","2","12","7","0","1","0","11"
"*02wy7*","F","Pavel Buchnevich","STL","F","Res","28","3.3","0.66","5","1","2","10","8","0","2","0","3"
"*03as8*","F","Nikolaj Ehlers","WPG","F","Res","28","1","0.2","5","0","1","0","14","0","0","0","0"
"*03167*","F","Bo Horvat","NYI","F","Res","28","2.3","0.57","4","1","1","7","14","0","0","0","3"
"*05gd8*","F","Mason McTavish","ANA","F","Res","21","2.7","0.9","3","2","0","8","3","0","0","0","7"
"*01f6d*","F","Ryan O'Reilly","NSH","F","Res","33","5.1","1.27","4","3","2","0","13","0","2","0","1"
"*03ne3*","F","Frank Vatrano","ANA","F","Res","29","7.4","1.85","4","2","4","2","8","0","5","0","14"
"*049ph*","D","Neal Pionk","WPG","D","Res","28","2.7","0.54","5","0","2","7","10","0","1","0","7"
"*01skr*","F","Mikael Granlund","SJS","F","IR","31","2.1","0.7","3","1","1","6","7","0","1","0","1"
