"*02un7*","F","Aleksander Barkov","FLA","F","Act","28","60.1","1.16","52","13","42","20","144","0","21","0","51"
"*04xec*","F","Matt Boldy","MIN","F","Act","22","48.6","0.95","51","23","24","40","155","0","16","0","16"
"*01ex7*","F","Matt Duchene","DAL","F","Act","33","57.2","1","57","22","33","14","119","0","12","0","22"
"*01s88*","F","Adam Henrique","ANA","F","Act","34","44.9","0.79","57","16","22","31","108","2","9","1","49"
"*05gvq*","F","Seth Jarvis","CAR","F","Act","22","54.3","0.94","58","18","28","12","130","1","14","0","83"
"*03wor*","F","Mason Marchment","DAL","F","Act","28","55.1","0.95","58","18","28","42","109","0","9","1","71"
"*02aez*","F","J.T. Miller","VAN","F","Act","30","94.5","1.57","60","29","50","47","134","1","31","1","135"
"*02yjj*","F","William Nylander","TOR","F","Act","27","80.1","1.41","57","31","47","20","235","3","31","0","21"
"*01f6d*","F","Ryan O'Reilly","NSH","F","Act","33","51.9","0.88","59","20","28","10","137","0","21","1","19"
"*03e1m*","F","Brayden Point","TBL","F","Act","27","67.2","1.12","60","30","32","10","167","0","21","2","12"
"*04dwj*","F","Jason Robertson","DAL","F","Act","24","61.4","1.04","59","19","38","18","168","0","18","0","44"
"*03ne3*","F","Frank Vatrano","ANA","F","Act","29","59","1.02","58","26","19","67","179","2","16","2","100"
"*04ld3*","D","Noah Dobson","NYI","D","Act","24","65.1","1.14","57","7","53","24","130","0","23","0","51"
"*04yu5*","D","Thomas Harley","DAL","D","Act","22","37.6","0.67","56","14","20","10","107","1","5","0","36"
"*04lbz*","D","Quinn Hughes","VAN","D","Act","24","72","1.2","60","12","58","28","143","0","27","0","20"
"*02ib8*","D","Torey Krug","STL","D","Act","32","32.6","0.57","57","2","27","26","122","0","9","0","36"
"*03pim*","D","Jeremy Lauzon","NSH","D","Act","26","36.2","0.61","59","6","5","81","73","0","0","0","252"
"*04alw*","D","Cale Makar","COL","D","Act","25","63.7","1.18","54","13","48","12","167","1","28","0","27"
"*039cg*","F","Sam Bennett","FLA","F","Res","27","36","0.78","46","13","15","77","110","0","10","0","80"
"*02wy7*","F","Pavel Buchnevich","STL","F","Res","28","52.7","0.96","55","22","24","40","146","2","10","2","27"
"*02fzj*","F","Blake Coleman","CGY","F","Res","32","52.6","0.91","58","23","22","59","134","4","2","0","76"
"*03as8*","F","Nikolaj Ehlers","WPG","F","Res","28","40.7","0.73","56","18","21","21","164","0","3","0","17"
"*04lcf*","F","Joel Farabee","PHI","F","Res","24","46.6","0.79","59","17","26","33","141","0","7","0","36"
"*01skr*","F","Mikael Granlund","SJS","F","Res","32","36","0.84","43","7","25","20","86","0","10","0","40"
"*03167*","F","Bo Horvat","NYI","F","Res","28","52.7","0.94","56","22","27","29","172","0","14","0","37"
"*05gd8*","F","Mason McTavish","ANA","F","Res","21","42.9","0.86","50","17","22","72","115","1","8","0","39"
"*049ph*","D","Neal Pionk","WPG","D","Res","28","32.9","0.59","56","4","16","43","106","0","5","0","129"
