"*02un7*","F","Aleksander Barkov","FLA","F","Act","28","4.5","0.75","6","1","3","2","14","0","2","0","5"
"*04xec*","F","Matt Boldy","MIN","F","Act","22","12.5","1.79","7","6","6","2","32","0","3","0","5"
"*01ex7*","F","Matt Duchene","DAL","F","Act","33","7.4","1.23","6","4","3","4","11","0","2","0","4"
"*01s88*","F","Adam Henrique","ANA","F","Act","34","4.6","0.66","7","1","2","5","13","0","0","0","16"
"*05gvq*","F","Seth Jarvis","CAR","F","Act","22","6.6","0.94","7","2","4","2","9","1","1","0","6"
"*03wor*","F","Mason Marchment","DAL","F","Act","28","7.7","1.1","7","2","3","2","13","0","3","0","27"
"*02aez*","F","J.T. Miller","VAN","F","Act","30","14.4","2.06","7","6","4","8","20","0","2","1","24"
"*02yjj*","F","William Nylander","TOR","F","Act","27","13.2","1.89","7","6","7","6","25","1","6","0","2"
"*01f6d*","F","Ryan O'Reilly","NSH","F","Act","33","4.1","0.59","7","2","2","0","10","0","2","0","1"
"*03e1m*","F","Brayden Point","TBL","F","Act","27","8.1","1.16","7","5","3","0","26","0","2","0","1"
"*04dwj*","F","Jason Robertson","DAL","F","Act","24","5.7","0.81","7","2","3","2","18","0","0","0","7"
"*03ne3*","F","Frank Vatrano","ANA","F","Act","29","8.7","1.24","7","4","3","12","16","0","3","0","17"
"*04ld3*","D","Noah Dobson","NYI","D","Act","24","6.7","1.34","5","0","6","2","10","0","3","0","7"
"*04yu5*","D","Thomas Harley","DAL","D","Act","22","4.6","0.66","7","1","3","0","12","0","1","0","6"
"*04lbz*","D","Quinn Hughes","VAN","D","Act","24","5.3","0.76","7","0","5","2","21","0","2","0","3"
"*02ib8*","D","Torey Krug","STL","D","Act","32","4.4","0.73","6","1","3","0","9","0","1","0","4"
"*03pim*","D","Jeremy Lauzon","NSH","D","Act","26","7.8","1.11","7","1","2","13","8","0","0","0","48"
"*04alw*","D","Cale Makar","COL","D","Act","25","1.3","0.22","6","0","1","0","18","0","1","0","3"
"*039cg*","F","Sam Bennett","FLA","F","Res","27","6.3","1.05","6","2","3","12","19","0","1","0","13"
"*02wy7*","F","Pavel Buchnevich","STL","F","Res","28","8.4","1.4","6","5","1","0","13","0","1","1","4"
"*02fzj*","F","Blake Coleman","CGY","F","Res","32","2.9","0.48","6","2","0","23","12","0","0","0","9"
"*03as8*","F","Nikolaj Ehlers","WPG","F","Res","28","3.1","0.52","6","2","1","0","13","0","0","0","1"
"*04lcf*","F","Joel Farabee","PHI","F","Res","24","2.4","0.4","6","0","2","4","13","0","1","0","4"
"*01skr*","F","Mikael Granlund","SJS","F","Res","32","3.4","0.68","5","2","1","6","13","0","1","0","4"
"*03167*","F","Bo Horvat","NYI","F","Res","28","2.1","0.42","5","1","1","2","15","0","0","0","1"
"*05gd8*","F","Mason McTavish","ANA","F","Res","21","9.3","1.33","7","4","4","10","18","0","0","0","13"
"*049ph*","D","Neal Pionk","WPG","D","Res","28","3.3","0.55","6","0","2","4","13","0","1","0","13"
